speed,time,distance,traffic,
31,0:18:21,13.31560741,1464,1101
34,0:18:18,13.28447132,1464,1098
30,0:18:15,13.25611736,1464,1095
35,0:18:12,13.22382684,1464,1092
34,0:18:09,13.19221513,1464,1089
33,0:18:06,13.16171339,1464,1086
36,0:18:03,13.12673399,1464,1083
42,0:18:00,13.09011066,1464,1080
40,0:17:57,13.05270065,1464,1077
41,0:17:54,13.01628055,1464,1074
32,0:17:51,12.98439476,1464,1071
23,0:17:48,12.96053142,1464,1068
15,0:17:45,12.9440224,1464,1065
3,0:17:42,12.93675197,1464,1062
0,0:17:39,12.93531561,1464,1059
0,0:17:36,12.93420331,1464,1056
0,0:17:33,12.93309101,1464,1053
0,0:17:30,12.9312734,1464,1050
0,0:17:27,12.9294558,1464,1047
0,0:17:24,12.92801944,1464,1044
0,0:17:21,12.92245432,1464,1041
0,0:17:18,12.91777615,1464,1038
0,0:17:15,12.91686734,1464,1035
3,0:17:12,12.91504973,1464,1032
5,0:17:09,12.90948462,1464,1029
4,0:17:06,12.90675821,1464,1026
15,0:17:03,12.89828184,1464,1023
22,0:17:00,12.88267283,1464,1020
28,0:16:57,12.85818907,1464,1017
35,0:16:54,12.8299538,1464,1014
44,0:16:51,12.79400402,1464,1011
51,0:16:48,12.75299047,1464,1008
59,0:16:45,12.70357396,1464,1005
63,0:16:42,12.64949124,1464,1002
58,0:16:39,12.59863831,1464,999
51,0:16:36,12.5518077,1464,996
52,0:16:33,12.50728003,1464,993
51,0:16:30,12.46301619,1464,990
50,0:16:27,12.41992476,1464,987
48,0:16:24,12.37826965,1464,984
50,0:16:21,12.33527901,1464,981
53,0:16:18,12.28933353,1464,978
53,0:16:15,12.24363367,1464,975
52,0:16:12,12.19672075,1464,972
51,0:16:09,12.15124148,1464,969
43,0:16:06,12.11182038,1464,966
42,0:16:03,12.07527495,1464,963
43,0:16:00,12.03993816,1464,960
49,0:15:57,11.99899388,1464,957
58,0:15:54,11.95253639,1464,954
62,0:15:51,11.89975228,1464,951
62,0:15:48,11.84625817,1464,948
65,0:15:45,11.79065187,1464,945
66,0:15:42,11.73575581,1464,942
73,0:15:39,11.67522746,1464,939
77,0:15:36,11.60907006,1464,936
78,0:15:33,11.54150455,1464,933
77,0:15:30,11.47464585,1464,930
77,0:15:27,11.40848901,1464,927
76,0:15:24,11.34163068,1464,924
72,0:15:21,11.2789929,1464,921
68,0:15:18,11.2177646,1464,918
62,0:15:15,11.16075625,1464,915
62,0:15:12,11.10867487,1464,912
63,0:15:09,11.05448453,1464,909
61,0:15:06,11.00028195,1464,906
59,0:15:03,10.94836254,1464,903
58,0:15:00,10.89870771,1464,900
54,0:14:57,10.85015626,1464,897
51,0:14:54,10.80673942,1464,894
56,0:14:51,10.75901361,1464,891
52,0:14:48,10.71291208,1464,888
51,0:14:45,10.66803567,1464,885
46,0:14:42,10.6259955,1464,882
44,0:14:39,10.58666533,1464,879
44,0:14:36,10.54899244,1464,876
44,0:14:33,10.5096623,1464,873
45,0:14:30,10.471235,1464,870
45,0:14:27,10.43190491,1464,867
40,0:14:24,10.39438017,1464,864
38,0:14:21,10.36239828,1464,861
39,0:14:18,10.32770376,1464,858
37,0:14:15,10.29558678,1464,855
33,0:14:12,10.2652688,1464,852
27,0:14:09,10.23870378,1464,849
22,0:14:06,10.21858725,1464,846
13,0:14:03,10.20400431,1464,843
9,0:14:00,10.1948487,1464,840
7,0:13:57,10.18749387,1464,837
8,0:13:54,10.1820412,1464,834
10,0:13:51,10.1737869,1464,831
11,0:13:48,10.16372865,1464,828
9,0:13:45,10.15367039,1464,825
5,0:13:42,10.14810543,1464,822
0,0:13:39,10.14537909,1464,819
0,0:13:36,10.14537909,1464,816
0,0:13:33,10.14537909,1464,813
0,0:13:30,10.14537909,1464,810
0,0:13:27,10.14426679,1464,807
0,0:13:24,10.14426679,1464,804
0,0:13:21,10.14426679,1464,801
0,0:13:18,10.14426679,1464,798
0,0:13:15,10.1431545,1464,795
0,0:13:12,10.1420422,1464,792
0,0:13:09,10.1420422,1464,789
0,0:13:06,10.1420422,1464,786
0,0:13:03,10.1409299,1464,783
0,0:13:00,10.1398176,1464,780
0,0:12:57,10.1398176,1464,777
0,0:12:54,10.1398176,1464,774
0,0:12:51,10.1387053,1464,771
0,0:12:48,10.137593,1464,768
0,0:12:45,10.137593,1464,765
