line_no,inout_type,stop_no,seq,stop_name,x,y,get_date,input_date
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143738,35.21229172,2018-01-23 06:20:20,2018-01-23 06:20:28
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0124359,35.21189117,2018-01-23 06:24:14,2018-01-23 06:24:23
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352264,35.16741943,2018-01-23 06:43:17,2018-01-23 06:43:26
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16912842,2018-01-23 06:43:35,2018-01-23 06:43:42
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.1758194,2018-01-23 06:46:44,2018-01-23 06:46:50
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334869,35.17721176,2018-01-23 06:47:47,2018-01-23 06:47:54
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144653,35.21234894,2018-01-24 06:19:54,2018-01-24 06:20:08
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.012207,35.21184921,2018-01-24 06:23:21,2018-01-24 06:23:28
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352722,35.16746902,2018-01-24 06:41:51,2018-01-24 06:42:00
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354095,35.16930008,2018-01-24 06:42:12,2018-01-24 06:42:16
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345856,35.17578125,2018-01-24 06:45:57,2018-01-24 06:46:04
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.933548,35.17718124,2018-01-24 06:47:00,2018-01-24 06:47:07
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144043,35.2123909,2018-01-25 06:20:03,2018-01-25 06:20:07
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0121002,35.21178055,2018-01-25 06:25:33,2018-01-25 06:25:37
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351959,35.16738892,2018-01-25 06:46:30,2018-01-25 06:46:37
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16921997,2018-01-25 06:46:51,2018-01-25 06:46:58
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345856,35.1758194,2018-01-25 06:51:51,2018-01-25 06:51:59
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9335022,35.17718887,2018-01-25 06:52:45,2018-01-25 06:52:54
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144806,35.21239853,2018-01-26 06:20:14,2018-01-26 06:20:22
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0124512,35.21186829,2018-01-26 06:23:56,2018-01-26 06:24:09
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351044,35.16728973,2018-01-26 06:43:50,2018-01-26 06:43:59
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.1692009,2018-01-26 06:44:11,2018-01-26 06:44:20
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17580032,2018-01-26 06:48:56,2018-01-26 06:49:03
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333649,35.17726898,2018-01-26 06:49:56,2018-01-26 06:50:08
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144653,35.21237183,2018-01-29 06:19:49,2018-01-29 06:20:00
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0124054,35.21192932,2018-01-29 06:23:10,2018-01-29 06:23:16
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351349,35.16732025,2018-01-29 06:40:22,2018-01-29 06:40:29
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16923141,2018-01-29 06:40:43,2018-01-29 06:40:50
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-01-29 06:42:40,2018-01-29 06:42:48
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9332428,35.1772995,2018-01-29 06:43:37,2018-01-29 06:43:43
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144958,35.21242905,2018-01-30 06:19:53,2018-01-30 06:19:58
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0120392,35.21186829,2018-01-30 06:23:20,2018-01-30 06:23:28
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351959,35.16740036,2018-01-30 06:41:26,2018-01-30 06:41:34
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16917038,2018-01-30 06:41:47,2018-01-30 06:41:55
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.1758194,2018-01-30 06:44:29,2018-01-30 06:44:33
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334259,35.17723846,2018-01-30 06:45:32,2018-01-30 06:45:36
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144806,35.21234131,2018-01-31 06:20:12,2018-01-31 06:20:17
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122833,35.21187973,2018-01-31 06:23:18,2018-01-31 06:23:23
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352722,35.16748047,2018-01-31 06:41:03,2018-01-31 06:41:11
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354553,35.16905975,2018-01-31 06:41:21,2018-01-31 06:41:27
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346161,35.17578125,2018-01-31 06:43:06,2018-01-31 06:43:12
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9332123,35.1772995,2018-01-31 06:44:03,2018-01-31 06:44:07
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143433,35.21239853,2018-02-01 06:20:06,2018-02-01 06:20:12
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0121613,35.21181107,2018-02-01 06:23:15,2018-02-01 06:23:25
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351654,35.16735077,2018-02-01 06:41:42,2018-02-01 06:41:47
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354095,35.16930008,2018-02-01 06:42:03,2018-02-01 06:42:08
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345856,35.1758194,2018-02-01 06:45:48,2018-02-01 06:45:50
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333496,35.17726898,2018-02-01 06:46:39,2018-02-01 06:46:46
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.014389,35.21242905,2018-02-02 06:20:04,2018-02-02 06:20:09
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0121613,35.21175003,2018-02-02 06:23:31,2018-02-02 06:23:38
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352722,35.16746902,2018-02-02 06:43:40,2018-02-02 06:43:47
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16918945,2018-02-02 06:44:01,2018-02-02 06:44:06
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345856,35.1758194,2018-02-02 06:46:10,2018-02-02 06:46:19
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333954,35.17723846,2018-02-02 06:47:04,2018-02-02 06:47:14
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0142517,35.21231842,2018-02-05 05:58:03,2018-02-05 05:58:14
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0124359,35.21181107,2018-02-05 06:19:30,2018-02-05 06:19:39
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351959,35.16740036,2018-02-05 06:37:15,2018-02-05 06:37:23
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354095,35.16915131,2018-02-05 06:37:33,2018-02-05 06:37:39
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345703,35.17581177,2018-02-05 06:38:30,2018-02-05 06:38:45
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333954,35.17721939,2018-02-05 06:39:12,2018-02-05 06:39:18
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143738,35.21231079,2018-02-06 06:21:44,2018-02-06 06:21:55
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122833,35.2117691,2018-02-06 06:24:08,2018-02-06 06:24:14
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9353027,35.16749954,2018-02-06 06:43:50,2018-02-06 06:43:57
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16925812,2018-02-06 06:44:11,2018-02-06 06:44:18
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-02-06 06:48:32,2018-02-06 06:48:40
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333954,35.17724991,2018-02-06 06:49:29,2018-02-06 06:49:38
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143738,35.21229935,2018-02-07 06:18:42,2018-02-07 06:18:47
